section_title,section_type,classification_label,code,descriptor,period,duration,variable1_label,variable1_code,variable1_descriptor,variable2_label,variable2_code,variable2_descriptor,value_type_description,value,value_label,decimals,confidentiality_indicator,confidentiality_label,final_indicator,final_label,last_updated_at_source
Life-cycle age groups,,Ethnic group,37144,Tuvaluan,2013,Census,Life cycle age group,4,65 years and over,,,,Percent,3.200000,percent,1,,,,,2024-07-15 09:07:43+00
Life-cycle age groups,,Ethnic group,37144,Tuvaluan,2018,Census,Life cycle age group,4,65 years and over,,,,Percent,3.600000,percent,1,,,,,2024-07-15 09:07:43+00
Life-cycle age groups,,Ethnic group,37144,Tuvaluan,2023,Census,Life cycle age group,4,65 years and over,,,,Percent,4.600000,percent,1,,,,,2024-07-15 09:07:43+00
Five-year age groups,,Ethnic group,37144,Tuvaluan,2023,Census,Five year age group,1,0-4 years,,,,Count,840.000000,,0,,,,,2024-07-15 09:08:00+00
Five-year age groups,,Ethnic group,37144,Tuvaluan,2023,Census,Five year age group,10,45-49 years,,,,Count,282.000000,,0,,,,,2024-07-15 09:08:00+00
Five-year age groups,,Ethnic group,37144,Tuvaluan,2023,Census,Five year age group,11,50-54 years,,,,Count,234.000000,,0,,,,,2024-07-15 09:08:00+00
Five-year age groups,,Ethnic group,37144,Tuvaluan,2023,Census,Five year age group,12,55-59 years,,,,Count,216.000000,,0,,,,,2024-07-15 09:08:00+00
Five-year age groups,,Ethnic group,37144,Tuvaluan,2023,Census,Five year age group,13,60-64 years,,,,Count,210.000000,,0,,,,,2024-07-15 09:08:00+00
Five-year age groups,,Ethnic group,37144,Tuvaluan,2023,Census,Five year age group,14,65-69 years,,,,Count,135.000000,,0,,,,,2024-07-15 09:08:00+00
Five-year age groups,,Ethnic group,37144,Tuvaluan,2023,Census,Five year age group,15,70-74 years,,,,Count,93.000000,,0,,,,,2024-07-15 09:08:00+00
Five-year age groups,,Ethnic group,37144,Tuvaluan,2023,Census,Five year age group,16,75-79 years,,,,Count,45.000000,,0,,,,,2024-07-15 09:08:00+00
Five-year age groups,,Ethnic group,37144,Tuvaluan,2023,Census,Five year age group,17,80-84 years,,,,Count,18.000000,,0,,,,,2024-07-15 09:08:00+00
Five-year age groups,,Ethnic group,37144,Tuvaluan,2023,Census,Five year age group,18,85-89 years,,,,Count,9.000000,,0,,,,,2024-07-15 09:08:00+00
Five-year age groups,,Ethnic group,37144,Tuvaluan,2023,Census,Five year age group,19,90 years and over,,,,Count,6.000000,,0,,,,,2024-07-15 09:08:00+00
Five-year age groups,,Ethnic group,37144,Tuvaluan,2023,Census,Five year age group,2,5-9 years,,,,Count,744.000000,,0,,,,,2024-07-15 09:08:00+00
Five-year age groups,,Ethnic group,37144,Tuvaluan,2023,Census,Five year age group,3,10-14 years,,,,Count,771.000000,,0,,,,,2024-07-15 09:08:00+00
Five-year age groups,,Ethnic group,37144,Tuvaluan,2023,Census,Five year age group,4,15-19 years,,,,Count,732.000000,,0,,,,,2024-07-15 09:08:00+00
Five-year age groups,,Ethnic group,37144,Tuvaluan,2023,Census,Five year age group,5,20-24 years,,,,Count,630.000000,,0,,,,,2024-07-15 09:08:00+00
Five-year age groups,,Ethnic group,37144,Tuvaluan,2023,Census,Five year age group,6,25-29 years,,,,Count,492.000000,,0,,,,,2024-07-15 09:08:00+00
Five-year age groups,,Ethnic group,37144,Tuvaluan,2023,Census,Five year age group,7,30-34 years,,,,Count,414.000000,,0,,,,,2024-07-15 09:08:00+00
Five-year age groups,,Ethnic group,37144,Tuvaluan,2023,Census,Five year age group,8,35-39 years,,,,Count,378.000000,,0,,,,,2024-07-15 09:08:00+00
